ID_REF	control_13_VALUE
AFFX-TrpnX-M_at	4.5
AFFX-TrpnX-5_at	11.6
AFFX-TrpnX-3_at	3.1
AFFX-ThrX-M_at	30.3
AFFX-ThrX-5_at	4
AFFX-ThrX-3_at	8.2
AFFX-r2-P1-cre-5_at	33258
AFFX-r2-P1-cre-3_at	42623.5
AFFX-r2-Hs28SrRNA-M_at	33.4
AFFX-r2-Hs28SrRNA-5_at	116.8
AFFX-r2-Hs28SrRNA-3_at	346.7
AFFX-r2-Hs18SrRNA-M_x_at	156.9
AFFX-r2-Hs18SrRNA-5_at	234
AFFX-r2-Hs18SrRNA-3_s_at	237.4
AFFX-r2-Ec-bioD-5_at	7355
AFFX-r2-Ec-bioD-3_at	7557.8
AFFX-r2-Ec-bioC-5_at	2076.7
AFFX-r2-Ec-bioC-3_at	2139.3
AFFX-r2-Ec-bioB-M_at	1362.9
AFFX-r2-Ec-bioB-5_at	645.1
AFFX-r2-Ec-bioB-3_at	590.3
AFFX-r2-Bs-thr-M_s_at	83.9
AFFX-r2-Bs-thr-5_s_at	39.5
AFFX-r2-Bs-thr-3_s_at	13.8
AFFX-r2-Bs-phe-M_at	18.5
AFFX-r2-Bs-phe-5_at	37
AFFX-r2-Bs-phe-3_at	17.6
AFFX-r2-Bs-lys-M_at	3
AFFX-r2-Bs-lys-5_at	8.6
AFFX-r2-Bs-lys-3_at	3.2
AFFX-r2-Bs-dap-M_at	26.8
AFFX-r2-Bs-dap-5_at	3.6
AFFX-r2-Bs-dap-3_at	9.5
AFFX-PheX-M_at	1.5
AFFX-PheX-5_at	2.6
AFFX-PheX-3_at	28.2
AFFX-M27830_M_at	505.5
AFFX-M27830_5_at	408.9
AFFX-M27830_3_at	33.4
AFFX-LysX-M_at	6.8
AFFX-LysX-5_at	8.6
AFFX-LysX-3_at	26.3
AFFX-HUMRGE/M10098_M_at	79
AFFX-HUMRGE/M10098_5_at	183.4
AFFX-HUMRGE/M10098_3_at	298.3
AFFX-HUMISGF3A/M97935_MB_at	75.5
AFFX-HUMISGF3A/M97935_MA_at	85
AFFX-HUMISGF3A/M97935_5_at	6.8
AFFX-HUMISGF3A/M97935_3_at	185.5
AFFX-HUMGAPDH/M33197_M_at	2273.9
AFFX-HUMGAPDH/M33197_5_at	1924.9
AFFX-HUMGAPDH/M33197_3_at	3125.4
AFFX-hum_alu_at	33000.5
AFFX-HSAC07/X00351_M_at	6412.4
AFFX-HSAC07/X00351_5_at	3910.5
AFFX-HSAC07/X00351_3_at	11246.5
AFFX-DapX-M_at	17.9
AFFX-DapX-5_at	4
AFFX-DapX-3_at	2.9
AFFX-CreX-5_at	16735.5
AFFX-CreX-3_at	27654.1
AFFX-BioDn-5_at	1009.8
AFFX-BioDn-3_at	8222.8
AFFX-BioC-5_at	1882
AFFX-BioC-3_at	1564
AFFX-BioB-M_at	1633.9
AFFX-BioB-5_at	430
AFFX-BioB-3_at	664.3
91952_at	27.6
91920_at	115.1
91826_at	20.7
91816_f_at	90.1
91703_at	13.9
91684_g_at	73.4
91682_at	101.7
91617_at	20.5
91580_at	17.1
90610_at	282.3
90265_at	636.7
89977_at	48.9
89948_at	46.1
89476_r_at	81.5
87100_at	30.4
823_at	10.4
81811_at	330.6
81737_at	17.3
79005_at	173.9
78495_at	115.5
78383_at	137.5
78330_at	67.5
78047_s_at	523.8
77508_r_at	340.7
76897_s_at	2.4
74694_s_at	123.1
71933_at	467.3
66053_at	45.8
65884_at	206.3
65770_at	89.4
65718_at	72.4
65635_at	450.9
65630_at	57.4
65591_at	228.7
65588_at	101.2
65585_at	51.2
65521_at	152.5
65517_at	161.7
65493_at	15.5
65472_at	30.5
65438_at	15.7
65133_i_at	6
65086_at	94.3
64942_at	225.1
64900_at	35.7
64899_at	74.6
64883_at	135.2
64488_at	83.5
64486_at	222.7
64474_g_at	15.4
64440_at	171.6
64438_at	61
64432_at	3.5
64418_at	268.6
64408_s_at	15.3
64371_at	78.9
64064_at	885
63825_at	97.2
635_s_at	82
63305_at	99.8
632_at	232.6
63009_at	170.5
62987_r_at	653.3
62212_at	102.7
61874_at	280
61734_at	19.3
61732_r_at	0.9
61297_at	19
60815_at	25.8
60794_f_at	14.9
60528_at	389.8
60474_at	20.4
60471_at	330.9
60084_at	25.7
59999_at	63
59705_at	72.9
59697_at	84.8
59644_at	49.1
59631_at	31.8
59625_at	9.1
59437_at	38.4
59433_at	54.4
59375_at	228.5
58994_at	8.5
58916_at	57.7
58900_at	483.1
58780_s_at	199.4
58696_at	13.7
58367_s_at	331
58308_at	9.4
57739_at	390.5
57715_at	208.2
57703_at	40
57588_at	38.2
57540_at	2.4
57539_at	63.8
57532_at	78.2
57516_at	47.8
57163_at	191.6
57082_at	610.3
56919_at	94.5
56829_at	371.6
56821_at	115.7
56748_at	64
564_at	127.9
56256_at	669.8
56197_at	1324.3
55872_at	6.5
55705_at	5864.3
55692_at	126.9
55662_at	60.8
55616_at	186.1
55583_at	29.3
55093_at	219.3
55081_at	11.9
55065_at	60.2
54970_at	164.8
54632_at	135.4
54051_at	32.6
54037_at	20.8
53991_at	21.4
53987_at	85.7
53968_at	196.9
53912_at	310.4
53720_at	143
53202_at	31
53076_at	16.7
53071_s_at	100.2
52975_at	24.3
52940_at	169
52837_at	26.8
52741_at	121.5
52731_at	31.2
52651_at	32.9
52285_f_at	3.9
52255_s_at	118.4
52169_at	578.5
52164_at	59.6
52159_at	66.6
52078_at	155.3
52005_at	15.7
51774_s_at	609.7
51228_at	38.9
51226_at	31.2
51200_at	127.6
51192_at	54
51176_at	121.5
51158_at	84.7
51146_at	118.9
50965_at	103.1
50400_at	42.9
50376_at	75
50374_at	163.6
50314_i_at	148.5
50277_at	707
50221_at	87.5
49878_at	494.9
49679_s_at	109.9
49485_at	95.1
49452_at	139.3
49329_at	161.4
49327_at	296.6
49306_at	11.3
49111_at	157.1
49077_at	208.3
49051_g_at	58.4
49049_at	96.2
48825_at	53
48808_at	57.4
48659_at	234.8
48612_at	776.9
48580_at	481.3
48531_at	198.6
48117_at	97.8
48106_at	335.4
48031_r_at	131.1
48030_i_at	916.4
47773_at	93.1
47608_at	286.6
47571_at	339.3
47560_at	91
47553_at	2.4
47550_at	7.8
47530_at	150.2
47105_at	138.8
47083_at	206.7
47069_at	196.6
46947_at	69.9
46665_at	86.9
46323_at	221.2
46270_at	79.3
46256_at	872.7
46167_at	47.2
46142_at	25.7
45828_at	167.7
45749_at	358.7
45714_at	42.7
45687_at	252.8
45653_at	16.5
45633_at	5.9
45572_s_at	554.6
45526_g_at	604.5
45297_at	28.4
45288_at	12.1
44822_s_at	123.6
44790_s_at	133.8
44783_s_at	191.4
44702_at	63.4
44696_at	164.6
44673_at	58.4
44669_at	55.5
44654_at	191
44617_at	154.6
44563_at	301.8
44146_at	310.9
44120_at	70.5
44111_at	187.8
44065_at	59.7
44040_at	152.7
43977_at	177.7
43934_at	160.8
43544_at	110.4
43511_s_at	246.6
43427_at	12.2
42361_g_at	5.7
41858_at	98.7
41856_at	221.5
41660_at	4
41657_at	35.3
41644_at	311.2
41577_at	28.2
41553_at	28.5
41512_at	175.6
41469_at	254.2
41397_at	55.4
41387_r_at	392.5
41386_i_at	122.2
41329_at	31.8
41220_at	3557.7
41160_at	47.3
41113_at	76.5
41047_at	210.6
41037_at	27.7
40850_at	284.1
40837_at	15.4
40829_at	493.2
40687_at	9.2
40665_at	2.8
40640_at	83.9
40612_at	31.4
40569_at	290.3
40562_at	29.3
40560_at	27
40524_at	42.4
40489_at	81.3
40472_at	13.6
40465_at	103.8
40446_at	833.7
40420_at	431.1
40359_at	338.3
40284_at	10.4
40273_at	21.6
40255_at	87.9
40225_at	467.1
40189_at	264.4
40149_at	165.3
40148_at	16.2
40093_at	70.4
40020_at	97.3
40016_g_at	160.7
39966_at	36.3
39891_at	152.6
39854_r_at	393.3
