ID_REF	pre_2_VALUE
AFFX-TrpnX-M_at	3.6
AFFX-TrpnX-5_at	5.1
AFFX-TrpnX-3_at	7.2
AFFX-ThrX-M_at	4.5
AFFX-ThrX-5_at	6.4
AFFX-ThrX-3_at	17.9
AFFX-r2-P1-cre-5_at	36667.8
AFFX-r2-P1-cre-3_at	51968
AFFX-r2-Hs28SrRNA-M_at	116.3
AFFX-r2-Hs28SrRNA-5_at	221.5
AFFX-r2-Hs28SrRNA-3_at	288
AFFX-r2-Hs18SrRNA-M_x_at	198.5
AFFX-r2-Hs18SrRNA-5_at	287.8
AFFX-r2-Hs18SrRNA-3_s_at	295.9
AFFX-r2-Ec-bioD-5_at	7513.4
AFFX-r2-Ec-bioD-3_at	8249
AFFX-r2-Ec-bioC-5_at	2288.8
AFFX-r2-Ec-bioC-3_at	2581
AFFX-r2-Ec-bioB-M_at	1723.3
AFFX-r2-Ec-bioB-5_at	693.8
AFFX-r2-Ec-bioB-3_at	664.2
AFFX-r2-Bs-thr-M_s_at	7.2
AFFX-r2-Bs-thr-5_s_at	77.9
AFFX-r2-Bs-thr-3_s_at	8.2
AFFX-r2-Bs-phe-M_at	25.9
AFFX-r2-Bs-phe-5_at	48.8
AFFX-r2-Bs-phe-3_at	63.4
AFFX-r2-Bs-lys-M_at	29.7
AFFX-r2-Bs-lys-5_at	45.6
AFFX-r2-Bs-lys-3_at	17.4
AFFX-r2-Bs-dap-M_at	2
AFFX-r2-Bs-dap-5_at	5.1
AFFX-r2-Bs-dap-3_at	1.7
AFFX-PheX-M_at	6.4
AFFX-PheX-5_at	2.5
AFFX-PheX-3_at	22
AFFX-M27830_M_at	473.2
AFFX-M27830_5_at	609.6
AFFX-M27830_3_at	34.5
AFFX-LysX-M_at	4.6
AFFX-LysX-5_at	3.9
AFFX-LysX-3_at	6.5
AFFX-HUMRGE/M10098_M_at	129
AFFX-HUMRGE/M10098_5_at	239.6
AFFX-HUMRGE/M10098_3_at	241.5
AFFX-HUMISGF3A/M97935_MB_at	80.7
AFFX-HUMISGF3A/M97935_MA_at	116.4
AFFX-HUMISGF3A/M97935_5_at	50.5
AFFX-HUMISGF3A/M97935_3_at	218.4
AFFX-HUMGAPDH/M33197_M_at	1667.3
AFFX-HUMGAPDH/M33197_5_at	1789.7
AFFX-HUMGAPDH/M33197_3_at	2307.5
AFFX-hum_alu_at	34371.1
AFFX-HSAC07/X00351_M_at	4245.4
AFFX-HSAC07/X00351_5_at	3647.9
AFFX-HSAC07/X00351_3_at	8482.1
AFFX-DapX-M_at	34.6
AFFX-DapX-5_at	10.3
AFFX-DapX-3_at	2.1
AFFX-CreX-5_at	18091.2
AFFX-CreX-3_at	29667.6
AFFX-BioDn-5_at	1021.7
AFFX-BioDn-3_at	9284.6
AFFX-BioC-5_at	2024.3
AFFX-BioC-3_at	1661
AFFX-BioB-M_at	1730.6
AFFX-BioB-5_at	411.3
AFFX-BioB-3_at	742.8
91952_at	22.6
91920_at	97.5
91826_at	16.1
91816_f_at	46.6
91703_at	11.8
91684_g_at	94
91682_at	157.4
91617_at	32.8
91580_at	75.4
90610_at	211.4
90265_at	684.5
89977_at	123.7
89948_at	76.9
89476_r_at	87.1
87100_at	15.6
823_at	12.1
81811_at	207.1
81737_at	8.6
79005_at	163.7
78495_at	121.2
78383_at	204.2
78330_at	47.6
78047_s_at	598.2
77508_r_at	364.9
76897_s_at	4.1
74694_s_at	106.4
71933_at	348.7
66053_at	31.4
65884_at	90.8
65770_at	49.2
65718_at	79
65635_at	440.2
65630_at	43
65591_at	118.9
65588_at	64.7
65585_at	50.6
65521_at	136.6
65517_at	21.7
65493_at	41.8
65472_at	47.3
65438_at	3.4
65133_i_at	3.4
65086_at	52.8
64942_at	269.6
64900_at	5
64899_at	101.3
64883_at	188.8
64488_at	103
64486_at	139
64474_g_at	68.4
64440_at	180
64438_at	140.5
64432_at	5.9
64418_at	288.4
64408_s_at	8.4
64371_at	90.9
64064_at	606.3
63825_at	73.5
635_s_at	89.8
63305_at	84.6
632_at	275.1
63009_at	150
62987_r_at	321.9
62212_at	60.2
61874_at	258.3
61734_at	14.4
61732_r_at	0.6
61297_at	5
60815_at	3.4
60794_f_at	29
60528_at	289.1
60474_at	14.8
60471_at	250.5
60084_at	44
59999_at	85.3
59705_at	66.6
59697_at	94.5
59644_at	87
59631_at	39.8
59625_at	8.7
59437_at	52.8
59433_at	86.5
59375_at	181.6
58994_at	8.6
58916_at	31.9
58900_at	502.2
58780_s_at	197.5
58696_at	12.3
58367_s_at	276.6
58308_at	68.1
57739_at	329.5
57715_at	138.9
57703_at	70.8
57588_at	68.7
57540_at	45.8
57539_at	26.2
57532_at	65.6
57516_at	22.8
57163_at	193.5
57082_at	471.2
56919_at	88
56829_at	230.9
56821_at	124.9
56748_at	72
564_at	111.9
56256_at	428.1
56197_at	1305.3
55872_at	22.8
55705_at	5867.5
55692_at	111.5
55662_at	29.7
55616_at	172.1
55583_at	110.1
55093_at	196.6
55081_at	51.2
55065_at	69.3
54970_at	262.3
54632_at	79.5
54051_at	29.1
54037_at	25.1
53991_at	10.1
53987_at	70.2
53968_at	121.2
53912_at	346.3
53720_at	142.3
53202_at	49
53076_at	77.4
53071_s_at	112.2
52975_at	105
52940_at	172.4
52837_at	59.6
52741_at	17.9
52731_at	8.8
52651_at	112.8
52285_f_at	3.3
52255_s_at	122.2
52169_at	347.5
52164_at	66.2
52159_at	82
52078_at	40.9
52005_at	40.1
51774_s_at	610.5
51228_at	38.7
51226_at	23.1
51200_at	99.5
51192_at	17.9
51176_at	113.3
51158_at	53.6
51146_at	54.1
50965_at	92
50400_at	41.4
50376_at	102.7
50374_at	141.1
50314_i_at	189.6
50277_at	574.4
50221_at	56.3
49878_at	385.9
49679_s_at	70.7
49485_at	123.5
49452_at	105.2
49329_at	181
49327_at	352.1
49306_at	6.6
49111_at	120.9
49077_at	162.1
49051_g_at	27.2
49049_at	54.5
48825_at	18.2
48808_at	11.5
48659_at	208.8
48612_at	939.9
48580_at	489.2
48531_at	222
48117_at	205.7
48106_at	254.9
48031_r_at	158.4
48030_i_at	971.5
47773_at	85
47608_at	193.4
47571_at	303.7
47560_at	72
47553_at	4
47550_at	45.3
47530_at	121.9
47105_at	168.2
47083_at	153.2
47069_at	85
46947_at	65.6
46665_at	166.5
46323_at	154.8
46270_at	120.8
46256_at	883.7
46167_at	52.8
46142_at	9.6
45828_at	107.9
45749_at	278
45714_at	31.9
45687_at	195.8
45653_at	64.3
45633_at	13.3
45572_s_at	451.5
45526_g_at	500.2
45297_at	32.5
45288_at	26.4
44822_s_at	37.6
44790_s_at	66.8
44783_s_at	121
44702_at	121.6
44696_at	178
44673_at	98.2
44669_at	35.7
44654_at	60.7
44617_at	259.6
44563_at	270.1
44146_at	224.4
44120_at	102
44111_at	64.2
44065_at	19.4
44040_at	215.1
43977_at	121.8
43934_at	114.5
43544_at	125.7
43511_s_at	204.1
43427_at	19.5
42361_g_at	47.7
41858_at	27.6
41856_at	242.6
41660_at	5.4
41657_at	33.6
41644_at	175.5
41577_at	53.3
41553_at	57.9
41512_at	108
41469_at	388.2
41397_at	14.6
41387_r_at	501.8
41386_i_at	119.3
41329_at	65
41220_at	2767.5
41160_at	43
41113_at	42.6
41047_at	21
41037_at	9
40850_at	244.8
40837_at	17.2
40829_at	185.8
40687_at	10.9
40665_at	8.6
40640_at	74.9
40612_at	8.4
40569_at	197.5
40562_at	62.4
40560_at	33.3
40524_at	22.9
40489_at	26.4
40472_at	13.1
40465_at	71.5
40446_at	828.9
40420_at	279.4
40359_at	350.2
40284_at	5.5
40273_at	46.5
40255_at	96.6
40225_at	354.6
40189_at	272.6
40149_at	143.9
40148_at	20.1
40093_at	49.1
40020_at	140
40016_g_at	54.7
39966_at	8.7
39891_at	164.5
39854_r_at	109.6
39835_at	12.4
39817_s_at	188.8
39763_at	34.8
39729_at	289.3
39705_at	138.7
39650_s_at	125.7
396_f_at	937.2
39582_at	160.3
39549_at	3.2
39548_at	49.7
39402_at	257.1
39318_at	106.9
39313_at	41.9
39249_at	29.8
39248_at	215.6
38964_r_at	4192.5
38918_at	79.2
38892_at	82.1
38766_at	84.6
38710_at	306.3
38707_r_at	516.1
38703_at	369
38691_s_at	80.3
38671_at	197.9
38521_at	132.5
38487_at	119.9
38447_at	375.4
38398_at	192.6
38340_at	151.1
38290_at	189.3
38269_at	461.2
38241_at	158.7
38158_at	120.2
38157_at	50.7
38149_at	278
38069_at	158.1
38043_at	39.4
38037_at	14.2
37996_s_at	18.1
37986_at	56.8
37966_at	103.1
37965_at	131.7
37953_s_at	76.4
37950_at	46.3
37943_at	125.2
37892_at	5.2
37872_at	163
37860_at	190.3
37831_at	97.4
37802_r_at	27.1
37796_at	214.8
37793_r_at	284.2
37652_at	162.2
37590_g_at	43.4
37586_at	75.3
37577_at	55.3
37566_at	22.5
37549_g_at	75.4
37547_at	14.7
37512_at	2.7
37462_i_at	86.9
37433_at	59.4
37425_g_at	32
37424_at	18.9
37408_at	295.4
37384_at	384.7
37278_at	157.7
37254_at	72.8
37232_at	61.1
37226_at	88.8
37201_at	52.4
37170_at	3.9
37152_at	163.6
37145_at	1003.6
37117_at	7.6
37079_at	23.6
37028_at	201.9
37022_at	73.5
37020_at	8.2
37012_at	749.2
37005_at	187.7
37004_at	63.1
36994_at	996.2
36936_at	119.7
36920_at	32
36907_at	965
36888_at	371.1
36865_at	99.5
36830_at	13.7
36829_at	176.7
36742_at	108.5
36711_at	117.7
36612_at	38.3
36566_at	74.9
36564_at	256
36554_at	127.8
36553_at	63
36552_at	82.6
36545_s_at	115.7
36499_at	10.4
36475_at	185.8
36129_at	447.8
36084_at	130.7
36030_at	237.6
36019_at	336
36004_at	216.8
35974_at	184.1
35846_at	25.6
35820_at	13.7
35776_at	171.6
35685_at	90.2
35671_at	292.6
35666_at	143
35626_at	57.2
35617_at	51.9
35436_at	29.4
35265_at	64.7
35254_at	174.9
35201_at	531.1
35179_at	30.4
35160_at	44.6
35156_at	63.9
35150_at	334.3
35148_at	16.7
35147_at	248.5
34868_at	36.5
34858_at	216.4
34846_at	229.5
34764_at	45.7
34726_at	6.5
34697_at	51.6
34689_at	171.2
34478_at	18
34471_at	1.7
34449_at	68.9
34408_at	86.4
34406_at	43.6
34260_at	10
34225_at	56.9
34221_at	167.7
34210_at	176.8
34206_at	224
34187_at	33.2
34063_at	77.2
34031_i_at	66.8
33850_at	8.2
33814_at	188.1
33778_at	354.8
33768_at	272
33767_at	25.6
33760_at	5.4
33736_at	85.3
33646_g_at	19.6
336_at	182
33579_i_at	61.3
33494_at	6.8
33323_r_at	185
33322_i_at	309
33307_at	56.1
33304_at	330.3
33197_at	56.6
33148_at	34.2
33132_at	140.5
32837_at	168.4
32836_at	204.5
32811_at	317.5
32723_at	48.8
32699_s_at	54.8
32625_at	34.1
32541_at	64.2
32540_at	97.2
32502_at	39.2
32402_s_at	20.4
32259_at	382.9
32209_at	370.8
32137_at	119.9
32128_at	8.1
32099_at	214.4
32094_at	28.9
32091_at	283
32088_at	13.1
32069_at	249.8
32062_at	77.9
32042_at	46.3
32032_at	207.8
32029_at	272.7
320_at	73.9
31874_at	123
31861_at	415.9
31846_at	100.1
31845_at	219.7
31837_at	312.8
31835_at	90.6
31826_at	187.2
31807_at	167.4
31799_at	31.6
31637_s_at	141.5
266_s_at	55.2
243_g_at	82.3
222384_at	20.7
222383_s_at	40.7
222382_x_at	47
222381_at	55.4
222380_s_at	415.1
222379_at	9.6
222378_at	30.4
222377_at	72.1
222376_at	81.1
222375_at	17
222374_at	35.4
222373_at	14.6
222372_at	10.2
222371_at	454.6
222370_x_at	90.7
222369_at	56.1
222368_at	258.3
222367_at	69.4
222366_at	90.4
222365_at	29
222364_at	9.2
222363_at	90.5
222362_at	5.2
222361_at	20.3
222360_at	52
222359_x_at	1.2
222358_x_at	64.6
222357_at	162.1
222356_at	59.2
222355_at	7.7
222354_at	7.6
222353_at	11.2
222352_at	139.4
222351_at	41.3
222350_at	10.4
222349_x_at	14.1
222348_at	36.6
222347_at	8.9
222346_at	13.5
222345_at	17.1
222344_at	16.3
222343_at	47.7
222342_at	4.5
222341_x_at	27.1
222340_at	3.6
222339_x_at	100
222338_x_at	88.4
222337_at	56.4
222336_at	35.9
222335_at	38.8
222334_at	91.5
222333_at	214.7
222332_at	25
222331_at	26.3
222330_at	1.2
222329_x_at	172.4
222328_x_at	88.4
222327_x_at	56.2
222326_at	92.1
222325_at	1.3
222324_at	12.6
222323_at	7.8
222322_at	4.1
222321_at	51.5
222320_at	15.7
222319_at	59.6
222318_at	117
222317_at	58
222316_at	96.4
222315_at	55.7
222314_x_at	8.6
222313_at	2.5
222312_s_at	63
222311_s_at	100.6
222310_at	50.5
222309_at	22.1
222308_x_at	2.3
222307_at	128.3
222306_at	95.9
222305_at	35.9
222304_x_at	34
222303_at	144.9
222302_at	60.5
222301_at	108.3
222300_at	67.4
222299_x_at	6.1
222298_at	3.8
222297_x_at	209.6
222296_at	8.9
222295_x_at	15.1
222294_s_at	173
222293_at	37.9
222292_at	50
222291_at	9.7
222290_at	69.9
222289_at	11.1
222288_at	5.6
222287_at	1.3
222286_at	81.2
222285_at	37
222284_at	6.3
222283_at	61.5
222282_at	203.7
222281_s_at	89.8
222280_at	308.6
222279_at	64.2
222278_at	52.7
222277_at	56.2
222276_at	15
222275_at	129.4
222274_at	3.7
222273_at	77
222272_x_at	26
222271_at	62.5
222270_at	13.4
222269_at	48.4
222268_x_at	19.3
222267_at	6.1
222266_at	135.9
222265_at	32.5
222264_at	99.7
222263_at	78.7
222262_s_at	49
222261_at	11
222260_at	16.4
222259_s_at	46.3
222258_s_at	41.3
222257_s_at	14
222256_s_at	53.4
222255_at	44.6
222254_at	4.4
222253_s_at	62.9
222252_x_at	230.5
222251_s_at	128.2
222250_s_at	23.3
222249_at	22.3
222248_s_at	5.2
222247_at	62
222246_at	6.3
222245_s_at	56.3
222244_s_at	507
222243_s_at	114.1
222242_s_at	19.4
222241_at	16.3
222240_s_at	17.4
222239_s_at	8.7
222238_s_at	74.5
222237_s_at	8.6
222236_s_at	112.8
222235_s_at	40.3
222234_s_at	7.5
222233_s_at	33.8
222231_s_at	262.7
222230_s_at	135.7
222229_x_at	226.7
222228_s_at	70.3
222227_at	9
222226_at	11.4
222225_at	105.3
222224_at	50.6
222223_s_at	38.9
222222_s_at	15
222221_x_at	37.3
222220_s_at	11.8
222219_s_at	42
