ID_REF	pre_symp_4_VALUE
AFFX-TrpnX-M_at	1.6
AFFX-TrpnX-5_at	10.6
AFFX-TrpnX-3_at	2.3
AFFX-ThrX-M_at	23
AFFX-ThrX-5_at	3.2
AFFX-ThrX-3_at	7.3
AFFX-r2-P1-cre-5_at	34131.4
AFFX-r2-P1-cre-3_at	45288.7
AFFX-r2-Hs28SrRNA-M_at	62.2
AFFX-r2-Hs28SrRNA-5_at	151.1
AFFX-r2-Hs28SrRNA-3_at	147.6
AFFX-r2-Hs18SrRNA-M_x_at	77.4
AFFX-r2-Hs18SrRNA-5_at	47.3
AFFX-r2-Hs18SrRNA-3_s_at	172.3
AFFX-r2-Ec-bioD-5_at	6730.1
AFFX-r2-Ec-bioD-3_at	7837.4
AFFX-r2-Ec-bioC-5_at	2713.3
AFFX-r2-Ec-bioC-3_at	2584.6
AFFX-r2-Ec-bioB-M_at	1469.3
AFFX-r2-Ec-bioB-5_at	698.6
AFFX-r2-Ec-bioB-3_at	795.7
AFFX-r2-Bs-thr-M_s_at	57.2
AFFX-r2-Bs-thr-5_s_at	22.3
AFFX-r2-Bs-thr-3_s_at	3.1
AFFX-r2-Bs-phe-M_at	8.5
AFFX-r2-Bs-phe-5_at	5.1
AFFX-r2-Bs-phe-3_at	8.1
AFFX-r2-Bs-lys-M_at	3.8
AFFX-r2-Bs-lys-5_at	3.8
AFFX-r2-Bs-lys-3_at	31.6
AFFX-r2-Bs-dap-M_at	5.9
AFFX-r2-Bs-dap-5_at	6.7
AFFX-r2-Bs-dap-3_at	0.7
AFFX-PheX-M_at	6.3
AFFX-PheX-5_at	4
AFFX-PheX-3_at	90.1
AFFX-M27830_M_at	310.9
AFFX-M27830_5_at	271.1
AFFX-M27830_3_at	21.1
AFFX-LysX-M_at	10.7
AFFX-LysX-5_at	42.3
AFFX-LysX-3_at	1
AFFX-HUMRGE/M10098_M_at	88.3
AFFX-HUMRGE/M10098_5_at	178.4
AFFX-HUMRGE/M10098_3_at	243.4
AFFX-HUMISGF3A/M97935_MB_at	153.8
AFFX-HUMISGF3A/M97935_MA_at	382.1
AFFX-HUMISGF3A/M97935_5_at	73.9
AFFX-HUMISGF3A/M97935_3_at	545.2
AFFX-HUMGAPDH/M33197_M_at	2158.5
AFFX-HUMGAPDH/M33197_5_at	2079.7
AFFX-HUMGAPDH/M33197_3_at	3071.3
AFFX-hum_alu_at	34149.6
AFFX-HSAC07/X00351_M_at	5353
AFFX-HSAC07/X00351_5_at	3329.3
AFFX-HSAC07/X00351_3_at	10201.8
AFFX-DapX-M_at	42.1
AFFX-DapX-5_at	11.3
AFFX-DapX-3_at	3.4
AFFX-CreX-5_at	17922.3
AFFX-CreX-3_at	25712.8
AFFX-BioDn-5_at	987.6
AFFX-BioDn-3_at	8102.7
AFFX-BioC-5_at	1831.6
AFFX-BioC-3_at	1637.2
AFFX-BioB-M_at	1700.2
AFFX-BioB-5_at	618
AFFX-BioB-3_at	667.1
91952_at	46.9
91920_at	253.7
91826_at	19.8
91816_f_at	79
91703_at	15.1
91684_g_at	92.7
91682_at	167.6
91617_at	6.5
91580_at	38.4
90610_at	180.7
90265_at	537.2
89977_at	107.9
89948_at	73.1
89476_r_at	121.6
87100_at	34.1
823_at	48.5
81811_at	201.3
81737_at	46.5
79005_at	138.9
78495_at	97.4
78383_at	293.1
78330_at	35.3
78047_s_at	625.1
77508_r_at	400.2
76897_s_at	9.2
74694_s_at	108.4
71933_at	407.3
66053_at	5.7
65884_at	122.5
65770_at	120.1
65718_at	77.4
65635_at	465.9
65630_at	106.3
65591_at	171.6
65588_at	95.7
65585_at	16.9
65521_at	215.2
65517_at	31.1
65493_at	5.4
65472_at	23.8
65438_at	9.5
65133_i_at	6.3
65086_at	17.4
64942_at	158.5
64900_at	3
64899_at	43.4
64883_at	170.5
64488_at	13
64486_at	202.9
64474_g_at	34.7
64440_at	233.8
64438_at	74.4
64432_at	4.5
64418_at	215.9
64408_s_at	9.3
64371_at	115.1
64064_at	598.4
63825_at	69.8
635_s_at	15.5
