ID_REF	symp_8_VALUE
AFFX-TrpnX-M_at	4
AFFX-TrpnX-5_at	4.5
AFFX-TrpnX-3_at	1.2
AFFX-ThrX-M_at	9.5
AFFX-ThrX-5_at	3.9
AFFX-ThrX-3_at	5.3
AFFX-r2-P1-cre-5_at	23457.3
AFFX-r2-P1-cre-3_at	29838.2
AFFX-r2-Hs28SrRNA-M_at	83.6
AFFX-r2-Hs28SrRNA-5_at	210.3
AFFX-r2-Hs28SrRNA-3_at	428.4
AFFX-r2-Hs18SrRNA-M_x_at	199.4
AFFX-r2-Hs18SrRNA-5_at	112.9
AFFX-r2-Hs18SrRNA-3_s_at	239.9
AFFX-r2-Ec-bioD-5_at	7531.1
AFFX-r2-Ec-bioD-3_at	7549.5
AFFX-r2-Ec-bioC-5_at	1594.6
AFFX-r2-Ec-bioC-3_at	1915.1
AFFX-r2-Ec-bioB-M_at	1345
AFFX-r2-Ec-bioB-5_at	414.9
AFFX-r2-Ec-bioB-3_at	545.5
AFFX-r2-Bs-thr-M_s_at	12.1
AFFX-r2-Bs-thr-5_s_at	40.7
AFFX-r2-Bs-thr-3_s_at	2.5
AFFX-r2-Bs-phe-M_at	5.4
AFFX-r2-Bs-phe-5_at	1.5
AFFX-r2-Bs-phe-3_at	8.5
AFFX-r2-Bs-lys-M_at	15.1
AFFX-r2-Bs-lys-5_at	1.6
AFFX-r2-Bs-lys-3_at	48.6
AFFX-r2-Bs-dap-M_at	1.6
AFFX-r2-Bs-dap-5_at	3
AFFX-r2-Bs-dap-3_at	0.8
AFFX-PheX-M_at	4
AFFX-PheX-5_at	2.1
AFFX-PheX-3_at	47
AFFX-M27830_M_at	519.7
AFFX-M27830_5_at	447.1
AFFX-M27830_3_at	16.9
AFFX-LysX-M_at	5.7
AFFX-LysX-5_at	10
AFFX-LysX-3_at	3.4
AFFX-HUMRGE/M10098_M_at	125.6
AFFX-HUMRGE/M10098_5_at	128.3
AFFX-HUMRGE/M10098_3_at	174.1
AFFX-HUMISGF3A/M97935_MB_at	151.9
AFFX-HUMISGF3A/M97935_MA_at	90
AFFX-HUMISGF3A/M97935_5_at	1.9
AFFX-HUMISGF3A/M97935_3_at	867.6
AFFX-HUMGAPDH/M33197_M_at	1813.3
AFFX-HUMGAPDH/M33197_5_at	1122.3
AFFX-HUMGAPDH/M33197_3_at	3363.9
AFFX-hum_alu_at	23674.4
AFFX-HSAC07/X00351_M_at	4059.6
AFFX-HSAC07/X00351_5_at	1720.2
AFFX-HSAC07/X00351_3_at	13790
