Probe_name	GB_ACC
1007_s_at	U48705
1053_at	M87338
117_at	X51757
121_at	X69699
1255_g_at	L36861
1294_at	L13852
1316_at	X55005
1320_at	X79510
1405_i_at	M21121
1431_at	J02843
1438_at	X75208
1487_at	L38487
1494_f_at	M33318
1598_g_at	L13720
160020_at	Z48481
1729_at	L41690
1773_at	L00635
177_at	U38545
179_at	U38980
1861_at	U66879
200000_s_at	NM_006445
200001_at	NM_001749
200002_at	NM_007209
200003_s_at	NM_000991
200004_at	NM_001418
200005_at	NM_003753
200006_at	NM_007262
200007_at	NM_003134
200008_s_at	D13988
200009_at	NM_001494
200010_at	NM_000975
200011_s_at	NM_001659
200012_x_at	NM_000982
200013_at	NM_000986
200014_s_at	NM_004500
200015_s_at	NM_004404
200016_x_at	NM_002136
200017_at	NM_002954
200018_at	NM_001017
200019_s_at	NM_001997
200020_at	NM_007375
200021_at	NM_005507
200022_at	NM_000979
200023_s_at	NM_003754
200024_at	NM_001009
200025_s_at	NM_000988
200026_at	NM_000995
200027_at	NM_004539
200028_s_at	NM_020151
200029_at	NM_000981
200030_s_at	NM_002635
200031_s_at	NM_001015
200032_s_at	NM_000661
200033_at	NM_004396
200034_s_at	NM_000970
200035_at	NM_015343
200036_s_at	NM_007104
200037_s_at	NM_016587
200038_s_at	NM_000985
200039_s_at	NM_002794
200040_at	NM_006559
200041_s_at	NM_004640
200042_at	NM_014306
200043_at	NM_004450
200044_at	NM_003769
200045_at	NM_001090
200046_at	NM_001344
200047_s_at	NM_003403
200048_s_at	NM_006694
200049_at	NM_007067
200050_at	NM_007145
200051_at	NM_005146
200052_s_at	NM_004515
200053_at	NM_004890
200054_at	NM_003904
200055_at	NM_006284
200056_s_at	NM_006333
200057_s_at	NM_007363
200058_s_at	BC001417
200059_s_at	BC001360
200060_s_at	BC001659
200061_s_at	BC000523
200062_s_at	L05095
200063_s_at	BC002398
200064_at	AF275719
200065_s_at	AF052179
200066_at	AF182645
200067_x_at	AL078596
200068_s_at	M94859
200069_at	AI656011
200070_at	BC001393
200071_at	BF224259
200072_s_at	AF061832
200073_s_at	M94630
200074_s_at	U16738
200075_s_at	BC006249
200076_s_at	BC006479
200077_s_at	D87914
200078_s_at	BC005876
200079_s_at	AF285758
200080_s_at	AI955655
200081_s_at	BE741754
200082_s_at	AI805587
200083_at	AA621731
200084_at	BE748698
200085_s_at	NM_007108
200086_s_at	AA854966
200087_s_at	AK024976
200088_x_at	AK026491
200089_s_at	AI953886
200090_at	BG168896
200091_s_at	AA888388
200092_s_at	BF216701
200093_s_at	N32864
200094_s_at	AI004246
200095_x_at	AA320764
200096_s_at	AI862255
200097_s_at	AI701949
200098_s_at	T33068
200099_s_at	AL356115
200593_s_at	BC003621
200594_x_at	NM_004501
200595_s_at	NM_003750
200596_s_at	BE614908
200597_at	AI123320
200598_s_at	AI582238
200599_s_at	NM_003299
200600_at	NM_002444
200601_at	U48734
200602_at	NM_000484
200603_at	AL050038
200604_s_at	M18468
200605_s_at	NM_002734
200606_at	NM_004415
200607_s_at	BG289967
200608_s_at	NM_006265
200609_s_at	NM_017491
200610_s_at	NM_005381
200611_s_at	AB010427
200612_s_at	NM_001282
200613_at	NM_004068
200614_at	NM_004859
200615_s_at	AL567295
200616_s_at	BC000371
200617_at	NM_014730
200618_at	NM_006148
200619_at	NM_006842
200620_at	NM_004872
200621_at	NM_004078
200622_x_at	AV685208
200623_s_at	NM_005184
200624_s_at	AA577695
200625_s_at	NM_006367
200626_s_at	NM_018834
200627_at	BC003005
200628_s_at	M61715
200629_at	NM_004184
200630_x_at	AV702810
200631_s_at	NM_003011
200632_s_at	NM_006096
200633_at	NM_018955
200634_at	NM_005022
200635_s_at	AU145351
200636_s_at	NM_002840
200637_s_at	AI762627
200638_s_at	BC003623
200639_s_at	NM_003406
200640_at	NM_003406
200641_s_at	U28964
200642_at	NM_000454
200643_at	NM_005336
200644_at	NM_023009
200645_at	NM_007278
200646_s_at	NM_006184
200647_x_at	NM_003752
200648_s_at	NM_002065
200649_at	BC002356
200650_s_at	NM_005566
200651_at	NM_006098
200652_at	NM_003145
200653_s_at	M27319
200654_at	J02783
200655_s_at	NM_006888
200656_s_at	NM_000918
200657_at	NM_001152
200658_s_at	AL560017
200659_s_at	NM_002634
200660_at	NM_005620
200661_at	NM_000308
200662_s_at	NM_014765
200663_at	NM_001780
200664_s_at	BG537255
200665_s_at	NM_003118
200666_s_at	NM_006145
200667_at	BF448062
200668_s_at	BC003395
200669_s_at	NM_003340
200670_at	NM_005080
200671_s_at	N92501
200672_x_at	NM_003128
200673_at	NM_014713
200674_s_at	NM_000994
200675_at	NM_004356
200676_s_at	NM_003347
200677_at	NM_004339
200678_x_at	NM_002087
200679_x_at	BE311760
200680_x_at	NM_002128
200681_at	NM_006708
200682_s_at	BG531983
200683_s_at	BE964689
200684_s_at	AI819709
200685_at	AU146237
200686_s_at	NM_004768
200687_s_at	NM_012426
200688_at	D13642
200689_x_at	NM_001404
200690_at	AA927701
200691_s_at	BC000478
200692_s_at	NM_004134
200693_at	NM_006826
200694_s_at	NM_020414
200695_at	NM_014225
200696_s_at	NM_000177
200697_at	NM_000188
200698_at	AL542253
200699_at	BE962456
200700_s_at	NM_006854
200701_at	NM_006432
200702_s_at	BG421209
200703_at	NM_003746
200704_at	AB034747
200705_s_at	NM_001959
200706_s_at	NM_004862
200707_at	NM_002743
200708_at	NM_002080
200709_at	NM_000801
200710_at	NM_000018
200711_s_at	NM_003197
200712_s_at	AI633566
200713_s_at	NM_012325
200714_x_at	NM_006812
200715_x_at	BC000514
200716_x_at	NM_012423
200717_x_at	NM_000971
200718_s_at	AA927664
200719_at	BE964043
200720_s_at	AL532341
200721_s_at	NM_005736
200722_s_at	BG258784
200723_s_at	NM_005898
200724_at	BC003358
200725_x_at	NM_006013
200726_at	NM_002710
200727_s_at	AA699583
200728_at	BE566290
200729_s_at	NM_005722
200730_s_at	BF576710
200731_s_at	AW165960
200732_s_at	AL578310
200733_s_at	U48296
200734_s_at	BG341906
200735_x_at	NM_005594
200736_s_at	NM_000581
200737_at	NM_000291
200738_s_at	NM_000291
200739_s_at	BG338532
200740_s_at	NM_006936
200741_s_at	NM_001030
200742_s_at	BG231932
200743_s_at	NM_000391
200744_s_at	AI741124
200745_s_at	AF070603
200746_s_at	NM_002074
200747_s_at	NM_006185
200748_s_at	NM_002032
200749_at	BF112006
200750_s_at	AF054183
200751_s_at	BE898861
200752_s_at	NM_005186
200753_x_at	BE866585
200754_x_at	NM_003016
200755_s_at	BF939365
200756_x_at	U67280
200757_s_at	NM_001219
200758_s_at	AI361227
200759_x_at	NM_003204
200760_s_at	N92494
200761_s_at	NM_006407
200762_at	NM_001386
200763_s_at	NM_001003
200764_s_at	AI826881
200765_x_at	NM_001903
200766_at	NM_001909
200767_s_at	NM_014612
200768_s_at	BC001686
200769_s_at	NM_005911
200770_s_at	J03202
200771_at	NM_002293
200772_x_at	BF686442
200773_x_at	NM_002823
200774_at	BE963765
200775_s_at	BC000355
200776_s_at	AL518328
200777_s_at	NM_014670
200778_s_at	AI191427
200779_at	NM_001675
200780_x_at	NM_000516
200781_s_at	NM_001019
200782_at	NM_001154
200783_s_at	NM_005563
200784_s_at	BF304759
200785_s_at	NM_002332
200786_at	NM_002799
200787_s_at	BC002426
200788_s_at	NM_003768
200789_at	NM_001398
200790_at	NM_002539
200791_s_at	NM_003870
200792_at	NM_001469
200793_s_at	NM_001098
200794_x_at	NM_014764
200795_at	NM_004684
200796_s_at	BF594446
200797_s_at	AI275690
200798_x_at	NM_021960
200799_at	NM_005345
200800_s_at	NM_005345
200801_x_at	NM_001101
200802_at	NM_006513
200803_s_at	AF033095
200804_at	NM_003217
200805_at	NM_006816
200806_s_at	BE256479
200807_s_at	NM_002156
200808_s_at	NM_003461
200809_x_at	NM_000976
200810_s_at	NM_001280
200811_at	NM_001280
200812_at	NM_006429
200813_s_at	BE256969
200814_at	NM_006263
200815_s_at	L13386
200816_s_at	NM_000430
200817_x_at	NM_001014
200818_at	NM_001697
200819_s_at	NM_001018
200820_at	NM_002812
200821_at	NM_013995
200822_x_at	NM_000365
200823_x_at	NM_000992
200824_at	NM_000852
200825_s_at	NM_006389
200826_at	NM_004597
200827_at	NM_000302
200828_s_at	BE871379
200829_x_at	NM_003457
200830_at	NM_002808
200831_s_at	AA678241
200832_s_at	AB032261
200833_s_at	NM_015646
200834_s_at	NM_001024
200835_s_at	AI553791
200836_s_at	NM_002375
200837_at	NM_005745
200838_at	NM_001908
200839_s_at	NM_001908
200840_at	NM_005548
200841_s_at	AI142677
200842_s_at	AI475965
200843_s_at	NM_004446
200844_s_at	BE869583
200845_s_at	NM_004905
200846_s_at	NM_002708
200847_s_at	NM_016127
200848_at	AA479488
200849_s_at	AI589266
200850_s_at	NM_006621
200851_s_at	NM_014761
200852_x_at	NM_005273
200853_at	NM_002106
200854_at	AB028970
200855_at	AW771910
200856_x_at	BF437948
200857_s_at	NM_006311
200858_s_at	NM_001012
200859_x_at	NM_001456
200860_s_at	BC000779
200861_at	NM_016284
200862_at	NM_014762
200863_s_at	AI215102
200864_s_at	NM_004663
200865_at	AI001896
200866_s_at	M32221
200867_at	AL031685
200868_s_at	NM_018683
200869_at	NM_000980
200870_at	NM_007178
200871_s_at	NM_002778
200872_at	NM_002966
200873_s_at	NM_006585
200874_s_at	BE796327
200875_s_at	NM_006392
200876_s_at	NM_002793
200877_at	NM_006430
200878_at	AF052094
200879_s_at	NM_001430
200880_at	AL534104
200881_s_at	NM_001539
200882_s_at	NM_002810
